name,desc,website,location,employees,raised,angel_url,angel_id
Goldbely,Marketplace for Artisan & Specialty Food ,https://angel.co/goldbely,New York City,11-50,"$13,000,000",https://www.goldbely.com,127378
Feather (YC S17),Modern-day furniture rentals for people on the move,https://angel.co/feather,New York City,11-50,"$3,500,000",http://rentfeather.com,3996376
Mason,"Build, deploy, and scale connected mobile products. ",https://angel.co/masonamerica,Detroit,1-10,-,http://www.bymason.com,632912
Plaid,Infrastructure and API's to power FinTech,https://angel.co/plaid,San Francisco,51-200,"$59,300,000",https://plaid.com,61714
HealthTap,-,https://angel.co/healthtap,Palo Alto,51-200,"$38,250,000",http://www.healthtap.com,34401
Unsplash,Photography for everyone.,https://angel.co/unsplash,Montreal,11-50,-,http://unsplash.com,65467
FaithStreet,Outreach and giving platform for congregations,https://angel.co/faithstreet,New York City,11-50,"$1,100,000",http://www.faithstreet.com,25024
Spring,Creating the world's best mobile shopping experience.,https://angel.co/spring-3,New York City,51-200,"$32,500,000",https://www.shopspring.com/,274588
Recombine,Genetic Testing. Simplified.,https://angel.co/recombine,Livingston,11-50,"$3,275,000",http://recombine.com,11169
Pocket Gems,Pioneering mobile games and entertainment,https://angel.co/pocket-gems,San Francisco,201-500,"$65,000,000",http://www.pocketgems.com,41212
Expa,Expa builds companies,https://angel.co/expa,San Francisco,11-50,"$150,000,000",http://www.expa.com,202539
EDITED,"Right product, right price, right time.",https://angel.co/edited,London,51-200,"$6,000,000",http://edited.com/,42611
Triplemint,The refreshingly simple way to find your home,https://angel.co/triplemint,New York City,11-50,"$6,500,000",http://www.triplemint.com,68512
Silversheet,-,https://angel.co/silversheet,United States,11-50,"$5,200,000",http://www.silversheet.com,556857
Maker,Content engagement platform for commerce,https://angel.co/maker,San Francisco,1-10,-,http://maker.me/,79594
WePay,Driving the future of ecommerce via integrated payments,https://angel.co/wepay,Redwood City,201-500,"$74,150,000",http://www.wepay.com,32771
Yogome,Learning Games Platform for Kids,https://angel.co/yogome,San Francisco,-,-,http://yogome.com,58611
