name,desc,angelListUrl,location,employees,raised,website
StrikeAd,-,https://angel.co/strikead,New York City,-,"$7,003,898",http://www.strikead.com
Raptor Ventures,-,https://angel.co/raptor-ventures,Boston,-,-,http://www.raptorventures.com
Joist,Estimating & Invoicing Tool for Contractors,https://angel.co/joist,San Francisco,11-50,-,http://www.joist.com
Urban Remedy,Organic foods and fresh pressed juices,https://angel.co/urban-remedy,Richmond,11-50,"$6,000,000",http://www.urbanremedy.com
Guardly,Mobile/Cloud Life Safety Solutions for Enterprise,https://angel.co/guardly,Toronto,11-50,"$1,689,300",https://www.guardly.com
Dealflicks,Priceline for movie tickets,https://angel.co/dealflicks,San Francisco,11-50,"$4,600,000",http://www.dealflicks.com
AgSquared,Enterprise platform for global agriculture,https://angel.co/agsquared,Washington DC,1-10,"$1,200,000",http://www.agsquared.com
Health Gorilla,First Clinical Network solving Healthcare Interopreability,https://angel.co/health-gorilla,Sunnyvale,11-50,"$4,325,000",https://www.healthgorilla.com
HighlightCam,Automatically edits videos and images on your phone,https://angel.co/highlightcam,Mountain View,11-50,"$3,000,000",http://highlightcam.com
Securly,Security for schools & families,https://angel.co/securly,Charlotte,11-50,"$4,000,000",http://www.securly.com
RocketBank,Simple & honest direct bank in Russia,https://angel.co/rocketbank,Moscow,51-200,"$2,000,000",https://rocketbank.ru
Alminder,"Mobile, smart, contextual Calendaring",https://angel.co/alminder,Palo Alto,1-10,"$1,525,000",http://mynd.me
Discoverly,Put Social to Work,https://angel.co/discoverly,San Francisco,1-10,"$750,000",http://Discover.ly
BeRecruited,LinkedIn/Match.com for College Athletic Recruiting,https://angel.co/berecruited,San Francisco,11-50,"$1,200,000",http://berecruited.com
kompany,Provides real-time access to commercial register data,https://angel.co/kompany,Vienna,11-50,"$2,100,000",https://www.kompany.com/
Sprint.ly,Development Resource Planning,https://angel.co/sprint-ly,Portland,1-10,"$500,000",https://sprint.ly
Aereo,-,https://angel.co/aereo,New York City,-,"$97,000,000",http://aereo.com/home
Sefaira,Software for high performance building design,https://angel.co/sefaira,London,11-50,"$20,000,000",http://www.sefaira.com
Sense,Enterprise Data Science Platform,https://angel.co/sense,San Francisco,1-10,"$11,260,000",https://sense.io
Tubular Labs,The Standard for Video Intelligence,https://angel.co/tubular-labs,Mountain View,11-50,"$20,750,000",http://www.tubularlabs.com
Meldium,Account & password manager for teams (YC W13),https://angel.co/meldium,San Francisco,11-50,"$16,000,000",https://www.meldium.com
Arc,YCombinator robotics startup,https://angel.co/arc-1,Palo Alto,1-10,-,http://www.arccameras.com
Coursebase,Coursebase is an enterprise SaaS application for managing employee training.,https://angel.co/coursebase,Tokyo,1-10,-,http://coursebase.co
Version One Ventures,version one ventures is a seed fund investing in companies leveraging network effects,https://angel.co/version-one-ventures,Palo Alto,,"$35,000,000",http://www.versionone.vc
Passport,Enterprise applications for urban mobility,https://angel.co/passport,-,51-200,"$58,537,500",http://www.passportinc.com
CrowdHall,Crowdsourced conversations with your favorite people,https://angel.co/crowdhall,Las Vegas,1-10,"$665,000",http://CrowdHall.com
OLSET,OLSET - Personalized Travel Booking,https://angel.co/olset,San Francisco,1-10,"$2,815,000",http://www.olset.com
Highfive,Video & web conferencing you can actually love,https://angel.co/highfive-1,Redwood City,51-200,"$49,500,000",http://highfive.com
Plympton,Digital Publisher and Distributor,https://angel.co/plympton,San Francisco,1-10,"$80,000",http://plympton.com
Partnered,The company-to-company business development network connecting startups and brands,https://angel.co/partnered,San Francisco,1-10,"$1,098,400",http://partnered.com
NodeFly,Node.js Monitoring,https://angel.co/nodefly,Vancouver,-,"$800,000",https://nodefly.com
Tictail,Discover the world's best independent brands,https://angel.co/tictail,Stockholm,51-200,"$34,150,000",http://www.tictail.com
Mango Health,Mobile health company inspiring patients with chronic conditions to lead healthier lives.,https://angel.co/mango-health,San Francisco,11-50,"$8,300,000",http://www.mangohealth.com
EVELO Electric Bicycles,Smart Electric Bicycles Delivered to Your Door,https://angel.co/evelo,New York City,11-50,"$750,000",http://www.evelo.com
Qubell,Adaptive Platform-as-a-Service for the enterprises,https://angel.co/qubell,Menlo Park,11-50,"$2,800,000",http://qubell.com
Bluetrain.io,Cloud CMS for Developers,https://angel.co/bluetrain-io,Cambridge,1-10,"$1,530,000",http://www.bluetrain.io
DeNA,-,https://angel.co/dena,Tokyo,1001-5000,-,http://dena.com/
MicroEval,Modern Performance Reviews,https://angel.co/microeval,Palo Alto,-,-,http://microeval.com
SubtleData,"API for all POS systems, enabling local commerce",https://angel.co/subtledata,Austin,11-50,"$500,000",http://www.subtledata.com
Xockets,Acceleration appliances for Big Data analytics,https://angel.co/xockets,San Francisco,1-10,-,http://xockets.com
Celery,Accept Pre-Orders Easily,https://angel.co/celery-5,San Francisco,11-50,"$2,300,000",https://www.trycelery.com
Kamcord,(YC S12),https://angel.co/kamcord,San Francisco,11-50,"$37,250,000",http://kamcord.com
Silicon Badia,-,https://angel.co/silicon-badia,-,1-10,-,http://www.siliconbadia.com
NoRedink,Adaptive learning tool that helps students improve their grammar/writing skills.,https://angel.co/noredink,San Francisco,11-50,"$8,000,000",http://www.noredink.com
Shift Labs,Well-designed medical devices for fast-growing healthcare sectors,https://angel.co/shift-labs,Seattle,1-10,-,http://www.shiftlabs.com
Kenna Security,Business Intelligence for Security,https://angel.co/risk-i-o,Chicago,51-200,"$10,750,000",https://www.kennasecurity.com
Clothes Horse,Clothes Horse solves the problem of buying clothes online that fit.,https://angel.co/clothes-horse,New York City,1-10,-,https://www.clotheshor.se
Tvinci,Pay Over-the-Top TV Platform,https://angel.co/tvinci,Tel Aviv-Yafo,-,"$6,100,000",http://www.tvinci.com
FlightCar,Travel made convienent,https://angel.co/flightcar,San Francisco,51-200,"$40,410,000",https://www.flightcar.com
Grow Mobile,A single mobile ad buying solution across networks with ROI analytics and optimization.  ,https://angel.co/grow-mobile,San Francisco,-,"$43,000,000",http://www.growmobile.com
Saverr Mobile,Consumers saving together,https://angel.co/saverr-mobile,Boston,1-10,"$795,000",http://www.cartcrunch.com
Double Robotics,Telepresence Robots,https://angel.co/double-robotics,Burlingame,11-50,"$250,000",http://www.doublerobotics.com
The Kive Company,Using technology to make parent's lives easier.  Our 1st app is ARTKIVE to store kids' art,https://angel.co/the-kive-company,Encino,-,"$775,000",http://www.artkiveapp.com
Vine Street Ventures,Vine Street Ventures is a fund dedicated to investing in internet and mobile businesses.,https://angel.co/vine-street-ventures,Cincinnati,1-10,-,http://www.vinestventures.com
Growth Machines,-,https://angel.co/growth-machines,-,11-50,-,http://www.google.com
dakwak,Effortless website translation and localization technology,https://angel.co/dakwak,Mountain View,1-10,"$600,000",http://www.dakwak.com
Vulcan Capital,-,https://angel.co/vulcan-capital,-,-,-,http://capital.vulcan.com
Foundersuite,Productivity tools for the world's 400M entrepreneurs.,https://angel.co/foundersuite,San Francisco,1-10,-,http://www.foundersuite.com
Conspire,Find the best path to any person or company without ever sending a connection request,https://angel.co/conspire,Boulder,1-10,"$3,518,000",http://goconspire.com
SpotHero,On-Demand Parking  App,https://angel.co/spothero,Chicago,51-200,"$86,960,000",http://spothero.com
Karlin Ventures,Early-stage venture capital fund based in Los Angeles,https://angel.co/karlin-ventures,Los Angeles,1-10,-,http://www.karlinvc.com
Tugboat Yards,"Tools to help grow, manage, monetize and retain audiences",https://angel.co/tugboat-yards,Half Moon Bay,1-10,-,https://tugboatyards.com
Voicegem,Asynchronous voice communication,https://angel.co/voicegem,Sunnyvale,1-10,-,http://www.voicegem.com
Bitnami,"Easy to use cloud images, containers, and VMs that work on any platform.",https://angel.co/bitnami,San Francisco,51-200,-,https://bitnami.com
Swipp,Swipp Turns Social Media Into Leads and Sales.,https://angel.co/swipp,Mountain View,11-50,"$5,500,000",http://www.swipp.com
Famous.AF / Stolen,Be the biggest fan of your favorite people on Twitter!,https://angel.co/famousaf,San Francisco,11-50,"$5,500,000",http://famous.af
Tiger Global,International private equity investor,https://angel.co/tiger-global,New York City,-,-,http://www.tiger-global.co.uk/
Meritech Capital,The brand name in late stage venture.,https://angel.co/meritech-capital,Palo Alto,1-10,-,http://www.meritechcapital.com/
Cloudflare,Cloudflare's mission is to help build a better Internet.,https://angel.co/cloudflare,San Francisco,201-500,"$182,050,000",http://www.cloudflare.com
Promus Ventures,Investing in early stage software companies that are changing the world.,https://angel.co/promus-ventures,Chicago,1-10,-,http://www.promusventures.com
Meetings.io,Effortless Video Meetings,https://angel.co/meetings-io,San Francisco,,-,http://meetings.io
STOWER,Mobile-Enabled Energy,https://angel.co/flamestower,Boulder,1-10,-,http://www.stowerenergy.com
Kidaptive,-,https://angel.co/kidaptive,Redwood City,11-50,"$24,650,000",http://www.kidaptive.com
SpaceCurve,-,https://angel.co/spacecurve,Seattle,-,"$12,300,000",http://www.spacecurve.com
Realty Mogul,"Online, crowdfunding, capital markets platform for real estate investing.",https://angel.co/realty-mogul,Los Angeles,51-200,"$45,020,000",http://www.realtymogul.com
Lakestar,-,https://angel.co/lakestar,Europe,11-50,-,http://www.lakestar.com
Cyphort,Cyber Security,https://angel.co/cyphort,Palo Alto,51-200,"$53,700,000",http://www.cyphort.com
Plated,Cook More. Live Better.,https://angel.co/plated,New York City,501-1000,"$56,400,000",https://www.plated.com/
RentMetrics,The Pricing Source For The Rental Market,https://angel.co/rentmetrics,San Francisco,1-10,-,http://www.rentmetrics.com
Email Copilot,(previously Embarke) - We get emails to the inbox,https://angel.co/email-copilot,San Diego,1-10,"$1,250,000",http://www.emailcopilot.com
2C2P,Universal electronic payments,https://angel.co/2c2p,Singapore,51-200,"$10,000,000",http://www.2c2p.com
Azimo,Social Remittance Network,https://angel.co/azimo,Kraków,51-200,"$66,000,000",https://azimo.com/en/
Bridge Boys,Building great companies with our friends,https://angel.co/bridge-boys,Boston,1-10,-,
DataGravity,We will change the way enterprises extract value from data.,https://angel.co/datagravity,Nashua,-,"$92,000,000",http://datagravity.com/
Cover,Dine without waiting for the check.,https://angel.co/cover,New York City,11-50,"$5,500,000",http://www.paywithcover.com/
doxIQ,document analytics startup. acquired by Nitro in 2015,https://angel.co/doxiq,San Francisco,1-10,-,http://www.gonitro.com
SevenFifty,Web platform for wholesale wine/spirits/beer industry,https://angel.co/sevenfifty,New York City,11-50,"$8,500,000",http://www.sevenfifty.com
LawPal,Conversational search AI for Law ,https://angel.co/lawpal,San Francisco,1-10,-,https://lawpal.com/
Ogmento,-,https://angel.co/ogmento,-,11-50,"$15,047,451",
Disruption,"Research, Investment & Advice For The Private Market.",https://angel.co/disruption-corporation,Washington DC,11-50,-,http://disruption.vc
Allocadia,Cloud enterprise software for the CMO,https://angel.co/allocadia,Vancouver,11-50,"$1,000,000",http://www.allocadia.com
clypd,"Changing TV advertising, one person at a time",https://angel.co/clypd,Somerville,11-50,"$29,800,000",http://www.clypd.com/
byUs,Exclusive recommendations for hard-to-find service providers.,https://angel.co/byus,San Francisco,1-10,"$1,500,000",http://byUs.com
Heavybit,Take your developer product to market,https://angel.co/heavybit-industries,San Francisco,1-10,-,http://heavybit.com
Pitango,Largest VC in Israel with $1.6B under management ,https://angel.co/pitango,-,-,-,http://www.pitango.com
Human API,Real-Time Health Data Network,https://angel.co/humanapi,San Mateo,11-50,-,http://humanapi.co
SkyKick,Cloud Management for Partners,https://angel.co/skykick,Seattle,51-200,"$21,700,000",http://www.skykick.com
CloudHealth Technologies,Policy Driven Cloud Management,https://angel.co/cloudhealth-technologies,Boston,11-50,"$85,700,000",http://www.cloudhealthtech.com
Promoter.io,Predictive customer intelligence & insights driven by NPS (Net Promoter),https://angel.co/promoter-io,San Antonio,1-10,"$1,437,000",http://www.promoter.io
Graph Ventures,Early stage investing,https://angel.co/graph,San Francisco,1-10,-,http://graphventures.com
Iris Capital,Leading pan-European VC firm sponsored by Publicis and Orange,https://angel.co/iris-capital,Paris,11-50,-,http://www.iriscapital.com
BuysideFX,"FX Trading so Powerful, it's Simple.",https://angel.co/buysidefx,Boston,11-50,"$3,500,000",http://www.buysidefx.com
Unwind Me,"Massage Made Simple: The best therapists, straight to you, at an affordable price (YC S14)",https://angel.co/unwind-me,San Francisco,1-10,-,http://unwind.me
Citia,Revolutionary Content Operating System,https://angel.co/citia,New York City,11-50,"$2,800,000",http://www.citia.com
Judicata,Mapping the legal genome to help you better understand the law.,https://angel.co/judicata,San Francisco,11-50,"$7,825,000",https://www.judicata.com
Rock Health,Full-service seed funding for digital health startups,https://angel.co/rockhealth,San Francisco,1-10,-,http://rockhealth.com
Spire,Platform for continuous respiratory health data. Products sold in Apple Stores globally.,https://angel.co/spire,San Francisco,11-50,"$9,500,000",https://spire.io
Inman News,Inman News is the industry’s leading source of real estate information.,https://angel.co/inman-news,-,11-50,-,http://www.inman.com
Jackson Square Ventures,VC firm investing in SaaS and marketplaces. ,https://angel.co/jsv,San Francisco,1-10,-,http://jsv.com
Contour Ventures,-,https://angel.co/contour-ventures,-,-,-,-
Startcaps Ventures,VC firm,https://angel.co/startcaps-ventures,San Francisco,1-10,-,http://www.startcaps.com
Netshoes,-,https://angel.co/netshoes,-,-,"$170,000,000",-
BoxC,Cross-Border Shipping. Simply.,https://angel.co/boxc,New York City,1-10,"$1,700,000",https://www.boxc.com
Kima Ventures,"Investing in 2 to 3 startups per week, all over the world.",https://angel.co/kima-ventures,London,1-10,-,http://www.kimaventures.com/
CrowdStreet,Connecting Investors with Investment Real Estate,https://angel.co/crowdstreet,Portland,1-10,"$4,850,000",http://crowdstreet.com
Streem,Unlimited Cloud Storage For Your Media (YC S12),https://angel.co/streem,San Francisco,1-10,"$875,000",https://www.streem.com
BloomThat,Send a little something! Fresh Stems + Sweet Surprises,https://angel.co/bloomthat,San Francisco,11-50,"$7,600,000",http://www.bloomthat.com
Be Great Partners,Be Great Partners is a leading startup incubator in Los Angeles,https://angel.co/be-great-partners,Los Angeles,51-200,"$6,000,000",http://www.begreat.co
T.Rowe Price,-,https://angel.co/t-rowe-price,-,-,-,-
Rockabox,-,https://angel.co/rockabox,-,-,"$4,500,000",-
Lantern,Mental health on demand,https://angel.co/lantern-2,San Francisco,11-50,"$20,800,000",http://www.golantern.com
White Star Capital,White Star Capital invests in early-stage companies to help them scale internationally. ,https://angel.co/white-star-capital,New York City,1-10,-,http://www.whitestarvc.com
Atomic Reach,Your intelligent writing companion that drives content performance.,https://angel.co/atomic-reach,Toronto,11-50,"$1,250,000",http://www.atomicreach.com
Affirm,Bringing transparency to consumer credit.,https://angel.co/affirm,San Francisco,201-500,"$420,000,000",https://www.affirm.com/
Seamless Toy Company,We enable kids to be makers.,https://angel.co/seamless-toy-company,Boulder,11-50,-,http://www.myATOMS.com/
Apprenda,Private PaaS Enablement,https://angel.co/apprenda-1,New York City,11-50,"$39,000,000",http://www.apprenda.com
Blue Apron,We make cooking fun & easy.  We deliver recipes and all the ingredients you need.,https://angel.co/blue-apron,New York City,1001-5000,"$293,000,000",http://www.blueapron.com
MixerBox,Universal music player,https://angel.co/mixerbox,Palo Alto,1-10,-,http://mixerbox.com
Modern Meadow,Biofabricated Leather,https://angel.co/modern-meadow,-,,"$52,500,000",http://www.modernmeadow.com/
OKpanda,Helping the World Learn English,https://angel.co/okpanda,New York City,1-10,"$3,000,000",http://okpanda.com
MicroTransponder,Device Based Tinnitus and Stroke Therapy,https://angel.co/microtransponder-1,Dallas,-,"$8,100,000",http://www.microtransponder.com
Sookasa (acquired by Barracuda Networks),"Data security for SaaS (Dropbox, Google Apps, Office 365)",https://angel.co/sookasa,Campbell,11-50,"$6,600,000",http://www.sookasa.com
YPlan,Live Your City.,https://angel.co/yplan,London,51-200,"$37,700,000",http://yplanapp.com
Mulu,Deep Learning for Intelligent Commerce,https://angel.co/mulu,San Francisco,1-10,"$3,641,507",http://www.mulu.me
Galvanize Ventures,Investment Fund,https://angel.co/galvanize-ventures,Denver,1-10,-,http://www.galvanize.com/venture
Assembled,Connecting Professionals Around the World,https://angel.co/hx,Palo Alto,1-10,-,http://www.assembled.com
yozio,Organic Mobile Growth Platform,https://angel.co/yozio,Oakland,,"$7,000,000",http://www.yozio.com
Peak,Brain training reimagined for your mobile lifestyle,https://angel.co/peak-1,London,11-50,"$10,000,000",http://www.peak.net
Trifacta,People • Transforming • Data,https://angel.co/trifacta,San Francisco,11-50,"$76,300,000",http://trifacta.com
Tindie,A community marketplace for hardware creators and enthusiasts,https://angel.co/tindie,Mountain View,1-10,"$500,000",https://www.tindie.com/
MyRoll (previously: Flayvr),Intelligent personalized gallery,https://angel.co/myroll-previously-flayvr,Tel Aviv-Yafo,11-50,"$2,450,000",http://www.myroll.com
TrendKite,Media Dashboards and On-Demand Media Analysis Reporting,https://angel.co/trendkite,Austin,1-10,"$36,400,000",http://www.trendkite.com
Nomi,Helping retailers bridge the gap between online and offline,https://angel.co/nomi,New York City,11-50,"$41,000,000",http://www.nomi.com
Clari,-,https://angel.co/clari-1,-,1-10,"$32,000,000",http://www.clari.com
Postmaster,Stripe for Shipping,https://angel.co/postmaster,Austin,1-10,"$718,000",https://www.postmaster.io
Blank Label,When Custom Disrupts Off-the-Rack,https://angel.co/blank-label,Boston,11-50,"$500,000",http://www.BlankLabel.com
Piqora,Make Your Photos Generate Business Results,https://angel.co/piqora-1,San Mateo,11-50,"$11,200,000",http://www.piqora.com
Sumazi,-,https://angel.co/sumazi,San Francisco,1-10,-,http://www.Sumazi.com
Walletkit,Powering the future of Mobile Wallets.,https://angel.co/walletkit,San Francisco,1-10,-,http://www.walletkit.com
SupplyHog,Amazon of Building Supplies. : Buy Hardware & Building Supplies Online,https://angel.co/supplyhog,Chattanooga,1-10,"$2,500,000",http://www.supplyhog.com
Chronos Mobile Technologies,Turning passively collected data into actionable insights,https://angel.co/waldo-2,San Francisco,1-10,-,http://www.chronosmobiletechnologies.com
Vocap Ventures,Early & Growth-stage VC,https://angel.co/vocap-ventures,New York City,1-10,-,http://www.vocapventures.com
Pagedip (formerly Beneath the Ink),"Engaging, interactive, measurable digital documentation",https://angel.co/pagedip,Boulder,1-10,"$640,000",http://www.Pagedip.com
Zesty,Healthy office catering (YC W14),https://angel.co/zesty-1,San Francisco,51-200,"$20,700,000",http://zesty.com
Floqq,Online Education ,https://angel.co/floqq,San Francisco,11-50,"$925,000",http://www.floqq.com
Embrace,Authentic Customer Relationships,https://angel.co/embrace-1,Austin,1-10,"$250,000",http://www.embracecustomers.com
KidAdmit,Giving your kids every opportunity,https://angel.co/kidadmit,San Francisco,1-10,"$500,000",http://www.kidadmit.com
AuditFile,Cloud based audit software for CPA firms,https://angel.co/auditfile,San Francisco,1-10,"$6,000,000",http://www.auditfile.com
MachineShop,APIs for the Internet of Everything,https://angel.co/machineshop,Boston,1-10,-,http://www.machineshop.io
Baroda Ventures,LA based seed fund,https://angel.co/baroda-ventures,Los Angeles,1-10,-,http://www.barodaventures.com
hiku,"Puts a retail store in the house, and makes shopping frictionless",https://angel.co/hiku,San Jose,1-10,"$750,000",http://www.hiku.us
Artivest,A Higher Standard,https://angel.co/artivest,New York City,11-50,"$15,000,000",http://artivest.co
TrustRadius,Changing the way enterprise software is bought and sold through in-depth user reviews,https://angel.co/trustradius,Austin,1-10,"$5,000,000",http://www.trustradius.com
BriteHub,Cloud tools to streamline your supply chain.,https://angel.co/britehub-2,Oakland,1-10,"$1,030,000",https://britehub.com
